Participant_ID,Delta_mean_before,Delta_mean_during,Delta_mean_change,Theta_mean_before,Theta_mean_during,Theta_mean_change,Alpha_mean_before,Alpha_mean_during,Alpha_mean_change,Beta_mean_before,Beta_mean_during,Beta_mean_change,Gamma_mean_before,Gamma_mean_during,Gamma_mean_change,Delta_relative_before,Delta_relative_during,Delta_relative_change,Theta_relative_before,Theta_relative_during,Theta_relative_change,Alpha_relative_before,Alpha_relative_during,Alpha_relative_change,Beta_relative_before,Beta_relative_during,Beta_relative_change,Gamma_relative_before,Gamma_relative_during,Gamma_relative_change,Theta_Beta_Ratio_before,Theta_Beta_Ratio_during,Theta_Beta_Ratio_change,Alpha_Delta_Ratio_before,Alpha_Delta_Ratio_during,Alpha_Delta_Ratio_change,Meditation_Index_before,Meditation_Index_during,Meditation_Index_change,Engagement_Index_before,Engagement_Index_during,Engagement_Index_change,Frontal_Alpha_Asymmetry_before,Frontal_Alpha_Asymmetry_during,Frontal_Alpha_Asymmetry_change,HeartRate_mean_before,HeartRate_mean_during,HeartRate_mean_change,Accelerometer_Magnitude_mean_before,Accelerometer_Magnitude_mean_during,Accelerometer_Magnitude_mean_change,Rows_original_before,Rows_original_during,Rows_original_change,Rows_after_HSI_filter_before,Rows_after_HSI_filter_during,Rows_after_HSI_filter_change
P01,0.5212663203441997,0.8064410438264664,0.2851747234822667,0.2983090499981486,0.6733772232225282,0.37506817322437963,0.598294525033131,0.6798975882486945,0.08160306321556354,0.3034897326391881,0.5942181838110951,0.29072845117190704,0.09302514872079648,0.4198443686021381,0.3268192198813416,0.28729645829705946,0.2540949430707449,-0.03320151522631454,0.1644133338325743,0.2121689471408936,0.04775561330831929,0.32975063101533175,0.21422339587314426,-0.11552723514218749,0.16726867229631565,0.18722736986533128,0.019958697569015638,0.05127090455871891,0.1322853440498858,0.08101443949116688,0.9829296279778971,1.133215444373877,0.15028581639597982,1.1477713055354668,0.8430840585973423,-0.30468724693812455,2.9543127117820185,2.2774039037173512,-0.6769088080646672,0.3384882026915857,0.4390964634633866,0.1006082607718009,,,,77.32516803690038,99.83869739591078,22.513529359010406,1.0012644807510402,1.0068734498411633,0.005608969090123095,315,1111,796,315,1111,796
P02,0.5155029490776701,1.1055460419585672,0.5900430928808971,0.39030698519163676,0.8723279221209026,0.48202093692926584,0.6665068758843105,0.8382963885525913,0.1717895126682808,0.6560844338968024,0.8691340087713703,0.21304957487456788,0.35075590382399235,0.7190801744557612,0.36832427063176887,0.1998726403711061,0.25101033594081973,0.05113769556971362,0.1513312151271219,0.19805898304715847,0.04672776792003658,0.25842042096333906,0.19033224318345293,-0.06808817777988613,0.25437939461638004,0.19733381626766217,-0.057045578348717874,0.13599632892205288,0.16326462156090682,0.02726829263885394,0.5949035901879504,1.0036748226594507,0.4087712324715004,1.292925437336128,0.758264564963282,-0.5346608723728461,1.6107894144035992,1.9681939648083446,0.3574045504047454,0.6208136153975494,0.5080800052637984,-0.11273361013375105,0.3610143748819384,-0.14035879281289446,-0.5013731676948329,86.61004976470589,100.91401869454546,14.30396892983957,1.000457226895153,1.004811073326238,0.004353846431085051,342,1095,753,342,1095,753
P03,0.49895710004445953,1.0212941394920516,0.5223370394475921,0.3292258625953473,0.7237828055670265,0.39455694297167915,0.688190437312918,0.694642096048455,0.006451658735536991,0.3962239563643467,0.5059664844122354,0.10974252804788864,-0.1455582879294539,0.0012328458319625613,0.14679113376141648,0.2823690256603926,0.34656343026684894,0.06419440460645631,0.18631498787163675,0.24560666919152985,0.0592916813198931,0.38945966143288263,0.2357181328133726,-0.15374152861951004,0.22423044484573387,0.171693416869281,-0.05253702797645288,-0.08237411981064599,0.00041835085896765563,0.08279247066961365,0.830908523594188,1.430495552304855,0.599587028710667,1.3792577302770055,0.6801587017761019,-0.6990990285009036,2.5677808814081464,2.8033969547671105,0.23561607335896406,0.3894413293752734,0.35671009711968316,-0.03273123225559027,-0.7719979750161959,-0.5126861036892568,0.2593118713269391,68.25691770523416,107.18839984577114,38.931482140536986,1.0011837884993868,1.0061493915638424,0.004965603064455593,587,630,43,587,630,43
P04,0.7309789944063494,0.6554320285720955,-0.07554696583425391,0.42084339677763194,0.47178190487723076,0.05093850809959882,0.5465661996115414,0.3380094887725837,-0.20855671083895772,0.26335622590896557,0.24352901323779838,-0.019827212671167188,-0.1973501256412034,-0.09561800788265236,0.10173211775855105,0.4142944875705992,0.4063096152231782,-0.007984872347421013,0.23851998586779763,0.29246285790692095,0.05394287203912332,0.30977547278957285,0.20953584710251166,-0.10023962568706118,0.14926151571577106,0.1509663479215315,0.001704832205760426,-0.11185146194374085,-0.05927466815414234,0.05257679378959851,1.598000561122504,1.9372718617988678,0.3392713006763637,0.747718065490274,0.515704869517837,-0.23201319597243697,3.6733879863678567,3.325235802023633,-0.3481521843442237,0.27222825460067235,0.3007305525194429,0.02850229791877057,-0.0122198406366427,-0.5666713692129788,-0.5544515285763361,83.84804352307694,97.38999025641026,13.541946733333319,1.0004144317219448,1.0116470515890446,0.01123261986709978,331,1520,1189,331,1520,1189
P05,0.3819746585745886,0.8670944024379299,0.4851197438633413,0.22681055625422597,0.6477716483660524,0.4209610921118264,0.4385648728236707,0.7622022884788361,0.3236374156551654,0.8509162459891181,0.9822849443433354,0.13136869835421727,0.6588508824590598,0.7331383210007851,0.07428743854172537,0.14937706264285378,0.21718127132266113,0.06780420867980735,0.08869775496646509,0.16224746662343467,0.07354971165696958,0.17150753593237167,0.19090892704583576,0.01940139111346409,0.33276387982193345,0.24603306446654902,-0.08673081535538443,0.257653766636376,0.18362927054151942,-0.07402449609485659,0.26654862605258867,0.6594539111042697,0.392905285051681,1.1481517503288288,0.8790303412590621,-0.26912140906976667,0.7819517281685626,1.435402166107174,0.6534504379386115,1.278851320326558,0.696668866476641,-0.582182453849917,-0.006591237146972321,-0.36011947619961376,-0.35352823905264147,75.38582816339868,86.83138322425249,11.445555060853806,1.0007515449103557,1.0026703421798633,0.0019187972695076105,566,1297,731,566,1297,731
P06,0.4173865768964877,1.0151898739572993,0.5978032970608116,0.267917839922041,0.8217063114628501,0.5537884715408091,0.6808392523899564,0.8446298788534852,0.16379062646352882,0.5230182252350589,0.7830414510707925,0.26002322583573356,0.17933818781282806,0.5157261643712027,0.3363879765583746,0.20178223848132115,0.2550540125043811,0.05327177402305994,0.12952276010054078,0.20644363898333165,0.07692087888279087,0.32914635016464666,0.21220290431278663,-0.11694344585186003,0.25284902317457847,0.1967295667305475,-0.05611945644403096,0.08669962807891284,0.12956987746895313,0.04287024939004029,0.5122533536983941,1.049377795184641,0.5371244414862469,1.631195850744393,0.8319920248623479,-0.7992038258820452,1.8140038846363329,2.1280306272901086,0.3140267426537757,0.5512667356831364,0.46991804872349363,-0.08134868695964281,0.27252165583417826,0.8249551561742796,0.5524335003401013,69.11181274328358,87.48352231127014,18.371709567986557,1.000434214088796,1.0047921882794566,0.00435797419066053,379,1076,697,379,1076,697
P07,0.47590220884442547,0.6639035343889055,0.18800132554448,0.3601547957205037,0.5150618649177372,0.15490706919723352,0.6147310227828787,0.6742249452202915,0.059493922437412805,0.5373614909447241,0.6830348474515244,0.14567335650680036,0.19358606085105645,0.3243202248612902,0.13073416401023374,0.218130104029946,0.23208984219602694,0.013959738166080926,0.16507719778850455,0.180057223313295,0.014980025524790441,0.2817623861752226,0.2356980390002535,-0.0460643471749691,0.24630000815940228,0.2387778370623188,-0.007522171097083474,0.08873030384692453,0.11337705842810569,0.024646754581181166,0.670228145837773,0.7540784585727767,0.08385031273500365,1.2917171035527533,1.0155465520166065,-0.2761705515361468,1.8142085633815253,1.741180284688818,-0.07302827869270723,0.5512045418505179,0.5743230662519929,0.023118524401474994,0.619668055541601,0.49003772350114816,-0.12963033204045282,69.24199468333332,89.68256345161289,20.440568768279576,1.0007168746045152,1.0031829421370542,0.0024660675325389736,367,359,-8,367,359,-8
P08,0.4030342805213043,0.7426680450637907,0.3396337645424864,0.20572268622046605,0.5641874499788675,0.3584647637584014,0.3560603147129673,0.48067006984093963,0.12460975512797234,0.4082642546860172,0.4517390806489125,0.043474825962895314,0.10334290024497357,0.2625119698966812,0.15916906965170763,0.272979957923162,0.29685625826204415,0.02387630033888216,0.13933844574130258,0.2255147188199609,0.08617627307865833,0.24116392680725282,0.19213149042824454,-0.04903243637900828,0.2765222822276254,0.18056731279000088,-0.09595496943762455,0.0699953873006572,0.10493021969974968,0.03493483239909248,0.5038959053093706,1.2489232704162447,0.7450273651068742,0.88344920499671,0.6472206163113602,-0.2362285886853498,1.3760278899887586,2.312966853164207,0.9369389631754486,0.7267294560491572,0.43234514953466385,-0.2943843065144933,0.7390668847602959,-0.33704437875731647,-1.0761112635176124,83.76829123989899,104.1833029142857,20.41501167438672,1.0017428549088507,0.9999604162170942,-0.0017824386917565382,547,1108,561,547,1108,561
P09,0.7190284507569519,0.614706609494739,-0.10432184126221289,0.6148982220363116,0.5038736110425535,-0.11102461099375815,0.7581262206874625,0.49358344170884744,-0.26454277897861506,0.8878577085479905,0.44338191732575455,-0.44447579122223596,0.6173443444770897,0.26098188240117454,-0.3563624620759152,0.19988253861611344,0.26535692737748573,0.06547438876137229,0.17093540246114416,0.2175124704169863,0.04657706795584213,0.21075131786916257,0.21307040378811,0.0023190859189474444,0.24681534162887486,0.19139937885653657,-0.05541596277233829,0.171615399424705,0.11266081956088143,-0.05895457986382356,0.692563927886509,1.1364324780804163,0.44386855019390725,1.054375831567375,0.8029577591731943,-0.2514180723941807,1.5464464964428017,2.2496565912465143,0.7032100948037125,0.6466437748090478,0.4445122886270873,-0.20213148618196047,0.12921203796429775,0.7441351346717707,0.614923096707473,67.71038761325967,89.82670811715481,22.11632050389514,1.0007538714532906,1.0063654484033975,0.0056115769501068336,257,1503,1246,257,1503,1246
P10,0.20295028223858808,0.8840754666061795,0.6811251843675914,0.1461760422079713,0.6853991036688819,0.5392230614609106,0.2826604026296027,0.5477795870843516,0.2651191844547489,0.30208838006287647,0.21483822429771757,-0.0872501557651589,0.14740194172307394,-0.05530917532468951,-0.20271111704776346,0.18769498756323727,0.3883002405091935,0.20060525294595621,0.13518833342647976,0.30103836929338473,0.16585003586690497,0.2614134859581657,0.2405936522901287,-0.020819833668037024,0.2793811080895324,0.09436042206398298,-0.18502068602554944,0.13632208496258488,-0.024292684156689805,-0.1606147691192747,0.4838850212561845,3.190303335960702,2.7064183147045178,1.3927568836652688,0.6196072708444081,-0.7731496128208607,1.4195727910762945,5.740033901249921,4.3204611101736266,0.7044372830235905,0.1742149989361988,-0.5302222840873918,-0.11530426482069701,0.41515577186588704,0.530460036686584,81.77748138408305,118.07392907563026,36.296447691547215,1.0005108091085506,1.0028042874130179,0.0022934783044672447,375,834,459,375,834,459
